                                          The SAS System      11:38 Wednesday, November 6, 2019   1

                                                  spd_      res_spd_
                              Obs     st_msa      p99_5      p99_5

                                1    AK-11260    161653    138819.48
                                2    AK-21820    214761    189804.54
                                3    AK-XXXXX    187391    167783.98
                                4    AL-11500     74366     59203.81
                                5    AL-12220     72817     57721.72
                                6    AL-13820     86731     64656.99
                                7    AL-17980     66847     53965.53
                                8    AL-19300     77687     62256.71
                                9    AL-19460     91556     70560.82
                               10    AL-20020     71871     60465.02
